Chronic_ID,Chronic_Condition,Risk_Modifier_Score,High_Risk_With_Symptoms,Associated_Department,Complication_Risk_Level
CHRON06250,Heart Disease + CKD,3,"Symptom_0, Symptom_1, Symptom_2",General Medicine,Low
CHRON06251,Alcohol Use,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Pulmonology,Moderate
CHRON06252,Sedentary Lifestyle,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Nephrology,Very High
CHRON06253,Diabetes + Hypertension,4,"Symptom_0, Symptom_1, Symptom_2",Nephrology,Very High
CHRON06254,Sedentary Lifestyle,2,"Symptom_0, Symptom_1, Symptom_2",Cardiology,Low
CHRON06255,Diabetes + Hypertension,5,"Symptom_0, Symptom_1",Rheumatology,Low
CHRON06256,Poor Diet,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Nephrology,High
CHRON06257,Alcohol Use,1,"Symptom_0, Symptom_1",Nephrology,Low
CHRON06258,Age 80+,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Cardiology,Low
CHRON06259,Diabetes + Hypertension,4,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Rheumatology,High
CHRON06260,Heart Disease + CKD,5,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",General Medicine,Very High
CHRON06261,Stress,2,"Symptom_0, Symptom_1",Nephrology,Very High
CHRON06262,Poor Diet,1,"Symptom_0, Symptom_1",Endocrinology,High
CHRON06263,COPD + Heart Disease,4,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Psychiatry,Moderate
CHRON06264,Heart Disease + CKD,4,"Symptom_0, Symptom_1",Psychiatry,High
CHRON06265,Poor Diet,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Rheumatology,High
CHRON06266,Age 50-60,1,"Symptom_0, Symptom_1",Oncology,Low
CHRON06267,Heart Disease + CKD,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Pulmonology,Low
CHRON06268,Smoking,1,"Symptom_0, Symptom_1, Symptom_2",General Medicine,High
CHRON06269,Age 60-70,2,"Symptom_0, Symptom_1, Symptom_2",Psychiatry,Moderate
CHRON06270,Age 40-50,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Cardiology,Low
CHRON06271,Age 70-80,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Oncology,Low
CHRON06272,Age 80+,1,"Symptom_0, Symptom_1, Symptom_2",Cardiology,Low
CHRON06273,Sedentary Lifestyle,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Oncology,Very High
CHRON06274,Age 60-70,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Oncology,Moderate
CHRON06275,Heart Disease + CKD,3,"Symptom_0, Symptom_1, Symptom_2",Nephrology,Low
CHRON06276,Poor Diet,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",General Medicine,Low
CHRON06277,Age 80+,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Nephrology,Very High
CHRON06278,Age 80+,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Cardiology,Low
CHRON06279,Age 50-60,1,"Symptom_0, Symptom_1, Symptom_2",Psychiatry,Very High
CHRON06280,Poor Diet,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Rheumatology,Very High
CHRON06281,Diabetes + Hypertension,5,"Symptom_0, Symptom_1, Symptom_2",Endocrinology,Moderate
CHRON06282,Age 70-80,2,"Symptom_0, Symptom_1",General Medicine,Very High
CHRON06283,Alcohol Use,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Cardiology,Low
CHRON06284,Poor Diet,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Cardiology,Low
CHRON06285,COPD + Heart Disease,4,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Pulmonology,High
CHRON06286,Poor Diet,1,"Symptom_0, Symptom_1",Rheumatology,Very High
CHRON06287,Alcohol Use,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Pulmonology,Moderate
CHRON06288,Age 80+,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Cardiology,Moderate
CHRON06289,Heart Disease + CKD,4,"Symptom_0, Symptom_1",Psychiatry,Low
CHRON06290,Age 50-60,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Pulmonology,Moderate
CHRON06291,Heart Disease + CKD,4,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Oncology,Very High
CHRON06292,Smoking,1,"Symptom_0, Symptom_1",Cardiology,High
CHRON06293,Age 60-70,2,"Symptom_0, Symptom_1, Symptom_2",General Medicine,Low
CHRON06294,Smoking,2,"Symptom_0, Symptom_1, Symptom_2",Pulmonology,Moderate
CHRON06295,Age 60-70,2,"Symptom_0, Symptom_1",Endocrinology,Very High
CHRON06296,Heart Disease + CKD,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",General Medicine,High
CHRON06297,Age 60-70,3,"Symptom_0, Symptom_1, Symptom_2",Oncology,Low
CHRON06298,Poor Diet,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Rheumatology,Low
CHRON06299,Sedentary Lifestyle,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Cardiology,High
CHRON06300,Smoking,2,"Symptom_0, Symptom_1, Symptom_2",Rheumatology,Moderate
CHRON06301,Sedentary Lifestyle,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Pulmonology,Moderate
CHRON06302,Age 60-70,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Rheumatology,High
CHRON06303,Age 80+,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Cardiology,Low
CHRON06304,Stress,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Rheumatology,Very High
CHRON06305,Poor Diet,2,"Symptom_0, Symptom_1, Symptom_2",General Medicine,Low
CHRON06306,Smoking,2,"Symptom_0, Symptom_1",Oncology,Very High
CHRON06307,Age 80+,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Psychiatry,Very High
CHRON06308,COPD + Heart Disease,4,"Symptom_0, Symptom_1, Symptom_2",Nephrology,Very High
CHRON06309,Stress,1,"Symptom_0, Symptom_1, Symptom_2",Oncology,Low
CHRON06310,Alcohol Use,1,"Symptom_0, Symptom_1",Oncology,Moderate
CHRON06311,Diabetes + Hypertension,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Nephrology,Moderate
CHRON06312,Poor Diet,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Endocrinology,Low
CHRON06313,Diabetes + Hypertension,5,"Symptom_0, Symptom_1, Symptom_2",Nephrology,Very High
CHRON06314,Stress,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Nephrology,Very High
CHRON06315,Alcohol Use,1,"Symptom_0, Symptom_1, Symptom_2",Cardiology,Moderate
CHRON06316,Age 70-80,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Nephrology,Low
CHRON06317,Smoking,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Nephrology,Very High
CHRON06318,Age 50-60,1,"Symptom_0, Symptom_1",Psychiatry,High
CHRON06319,Alcohol Use,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Nephrology,Moderate
CHRON06320,Alcohol Use,1,"Symptom_0, Symptom_1, Symptom_2",Pulmonology,Moderate
CHRON06321,COPD + Heart Disease,5,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Nephrology,Moderate
CHRON06322,Stress,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Oncology,Moderate
CHRON06323,Heart Disease + CKD,5,"Symptom_0, Symptom_1, Symptom_2",Psychiatry,Low
CHRON06324,Age 50-60,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Endocrinology,High
CHRON06325,COPD + Heart Disease,3,"Symptom_0, Symptom_1",Cardiology,Moderate
CHRON06326,Heart Disease + CKD,4,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Nephrology,Moderate
CHRON06327,COPD + Heart Disease,3,"Symptom_0, Symptom_1, Symptom_2",Oncology,Moderate
CHRON06328,COPD + Heart Disease,5,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Psychiatry,Very High
CHRON06329,COPD + Heart Disease,4,"Symptom_0, Symptom_1",Oncology,High
CHRON06330,COPD + Heart Disease,3,"Symptom_0, Symptom_1, Symptom_2",Endocrinology,Moderate
CHRON06331,Age 60-70,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Pulmonology,Moderate
CHRON06332,Heart Disease + CKD,4,"Symptom_0, Symptom_1",Oncology,Very High
CHRON06333,Age 70-80,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",General Medicine,Moderate
CHRON06334,Age 50-60,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Nephrology,Very High
CHRON06335,Age 50-60,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Endocrinology,Very High
CHRON06336,COPD + Heart Disease,5,"Symptom_0, Symptom_1, Symptom_2",Rheumatology,Low
CHRON06337,COPD + Heart Disease,5,"Symptom_0, Symptom_1",Nephrology,Very High
CHRON06338,Age 60-70,2,"Symptom_0, Symptom_1, Symptom_2",Oncology,Low
CHRON06339,Diabetes + Hypertension,5,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Endocrinology,Moderate
CHRON06340,Age 50-60,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Psychiatry,High
CHRON06341,Stress,2,"Symptom_0, Symptom_1",General Medicine,Very High
CHRON06342,Stress,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Endocrinology,Low
CHRON06343,Alcohol Use,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Cardiology,Moderate
CHRON06344,Sedentary Lifestyle,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Psychiatry,Low
CHRON06345,Age 80+,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",General Medicine,Very High
CHRON06346,Alcohol Use,2,"Symptom_0, Symptom_1",Oncology,Very High
CHRON06347,Sedentary Lifestyle,2,"Symptom_0, Symptom_1",Rheumatology,Very High
CHRON06348,COPD + Heart Disease,4,"Symptom_0, Symptom_1, Symptom_2",Oncology,Very High
CHRON06349,Age 50-60,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",General Medicine,Low
CHRON06350,Sedentary Lifestyle,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Oncology,High
CHRON06351,Poor Diet,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Cardiology,Very High
CHRON06352,Stress,2,"Symptom_0, Symptom_1",Rheumatology,Very High
CHRON06353,Sedentary Lifestyle,1,"Symptom_0, Symptom_1",Endocrinology,High
CHRON06354,Poor Diet,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Cardiology,Low
CHRON06355,Heart Disease + CKD,3,"Symptom_0, Symptom_1",General Medicine,High
CHRON06356,Diabetes + Hypertension,4,"Symptom_0, Symptom_1",General Medicine,Moderate
CHRON06357,COPD + Heart Disease,5,"Symptom_0, Symptom_1, Symptom_2",Pulmonology,High
CHRON06358,Diabetes + Hypertension,5,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Oncology,Very High
CHRON06359,Heart Disease + CKD,4,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Rheumatology,Low
CHRON06360,Age 70-80,1,"Symptom_0, Symptom_1, Symptom_2",Pulmonology,Very High
CHRON06361,COPD + Heart Disease,4,"Symptom_0, Symptom_1, Symptom_2",Psychiatry,Moderate
CHRON06362,COPD + Heart Disease,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Psychiatry,Low
CHRON06363,Age 40-50,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Oncology,Very High
CHRON06364,Heart Disease + CKD,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Rheumatology,Moderate
CHRON06365,Sedentary Lifestyle,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Endocrinology,Low
CHRON06366,Alcohol Use,1,"Symptom_0, Symptom_1",Pulmonology,Very High
CHRON06367,Poor Diet,1,"Symptom_0, Symptom_1, Symptom_2",Psychiatry,Low
CHRON06368,Poor Diet,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Nephrology,Moderate
CHRON06369,Alcohol Use,1,"Symptom_0, Symptom_1, Symptom_2",General Medicine,Very High
CHRON06370,Age 50-60,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",General Medicine,Moderate
CHRON06371,Age 40-50,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Endocrinology,High
CHRON06372,Age 50-60,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Pulmonology,Low
CHRON06373,Heart Disease + CKD,3,"Symptom_0, Symptom_1",Rheumatology,Very High
CHRON06374,Sedentary Lifestyle,1,"Symptom_0, Symptom_1, Symptom_2",Pulmonology,Moderate
CHRON06375,Smoking,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Rheumatology,High
CHRON06376,Age 40-50,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Endocrinology,Moderate
CHRON06377,COPD + Heart Disease,4,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Oncology,Low
CHRON06378,Stress,2,"Symptom_0, Symptom_1, Symptom_2",Psychiatry,Low
CHRON06379,Poor Diet,2,"Symptom_0, Symptom_1",Psychiatry,Low
CHRON06380,Heart Disease + CKD,4,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Nephrology,High
CHRON06381,Smoking,2,"Symptom_0, Symptom_1, Symptom_2",General Medicine,Low
CHRON06382,Smoking,2,"Symptom_0, Symptom_1",Pulmonology,Moderate
CHRON06383,Stress,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Cardiology,Low
CHRON06384,Alcohol Use,2,"Symptom_0, Symptom_1, Symptom_2",Oncology,High
CHRON06385,Smoking,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Oncology,High
CHRON06386,Sedentary Lifestyle,2,"Symptom_0, Symptom_1",Rheumatology,High
CHRON06387,Age 60-70,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Psychiatry,High
CHRON06388,COPD + Heart Disease,5,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Nephrology,High
CHRON06389,Stress,1,"Symptom_0, Symptom_1",Pulmonology,Moderate
CHRON06390,Diabetes + Hypertension,5,"Symptom_0, Symptom_1, Symptom_2",Pulmonology,Very High
CHRON06391,Poor Diet,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Psychiatry,High
CHRON06392,COPD + Heart Disease,4,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",General Medicine,High
CHRON06393,Diabetes + Hypertension,3,"Symptom_0, Symptom_1, Symptom_2",Pulmonology,Moderate
CHRON06394,Stress,2,"Symptom_0, Symptom_1",Rheumatology,Low
CHRON06395,Smoking,1,"Symptom_0, Symptom_1",Oncology,Very High
CHRON06396,Stress,2,"Symptom_0, Symptom_1, Symptom_2",Oncology,High
CHRON06397,Heart Disease + CKD,4,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Oncology,Low
CHRON06398,Age 40-50,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Nephrology,Low
CHRON06399,Age 60-70,2,"Symptom_0, Symptom_1, Symptom_2",Endocrinology,Low
CHRON06400,Alcohol Use,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Oncology,Moderate
CHRON06401,Smoking,1,"Symptom_0, Symptom_1",Pulmonology,High
CHRON06402,Poor Diet,2,"Symptom_0, Symptom_1, Symptom_2",Oncology,Very High
CHRON06403,Smoking,1,"Symptom_0, Symptom_1",Nephrology,High
CHRON06404,Sedentary Lifestyle,2,"Symptom_0, Symptom_1, Symptom_2",Rheumatology,Low
CHRON06405,Smoking,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Endocrinology,Moderate
CHRON06406,Age 50-60,3,"Symptom_0, Symptom_1, Symptom_2",Nephrology,Low
CHRON06407,Heart Disease + CKD,4,"Symptom_0, Symptom_1, Symptom_2",General Medicine,High
CHRON06408,Age 50-60,3,"Symptom_0, Symptom_1, Symptom_2",Nephrology,Very High
CHRON06409,Age 80+,1,"Symptom_0, Symptom_1, Symptom_2",General Medicine,High
CHRON06410,Smoking,1,"Symptom_0, Symptom_1, Symptom_2",Pulmonology,Moderate
CHRON06411,Poor Diet,1,"Symptom_0, Symptom_1",Pulmonology,Moderate
CHRON06412,Heart Disease + CKD,4,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Rheumatology,Very High
CHRON06413,COPD + Heart Disease,4,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Psychiatry,Moderate
CHRON06414,COPD + Heart Disease,4,"Symptom_0, Symptom_1, Symptom_2",General Medicine,Low
CHRON06415,Age 80+,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Rheumatology,Low
CHRON06416,Sedentary Lifestyle,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Oncology,High
CHRON06417,Age 50-60,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Nephrology,Very High
CHRON06418,Age 80+,1,"Symptom_0, Symptom_1, Symptom_2",General Medicine,Low
CHRON06419,Age 70-80,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Psychiatry,High
CHRON06420,Diabetes + Hypertension,4,"Symptom_0, Symptom_1, Symptom_2",Pulmonology,Moderate
CHRON06421,Age 70-80,2,"Symptom_0, Symptom_1",Endocrinology,High
CHRON06422,Alcohol Use,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",General Medicine,High
CHRON06423,Smoking,1,"Symptom_0, Symptom_1",Oncology,High
CHRON06424,COPD + Heart Disease,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Nephrology,High
CHRON06425,Smoking,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Nephrology,Very High
CHRON06426,Alcohol Use,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",General Medicine,Low
CHRON06427,Heart Disease + CKD,4,"Symptom_0, Symptom_1",Rheumatology,Low
CHRON06428,Sedentary Lifestyle,2,"Symptom_0, Symptom_1",Pulmonology,Very High
CHRON06429,Age 50-60,2,"Symptom_0, Symptom_1",Psychiatry,Very High
CHRON06430,Age 50-60,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Cardiology,High
CHRON06431,Age 50-60,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Oncology,Low
CHRON06432,Age 60-70,3,"Symptom_0, Symptom_1, Symptom_2",Oncology,Very High
CHRON06433,COPD + Heart Disease,3,"Symptom_0, Symptom_1, Symptom_2",Psychiatry,High
CHRON06434,COPD + Heart Disease,4,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",General Medicine,Low
CHRON06435,COPD + Heart Disease,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Endocrinology,High
CHRON06436,Age 40-50,2,"Symptom_0, Symptom_1",Cardiology,Low
CHRON06437,Sedentary Lifestyle,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Cardiology,Very High
CHRON06438,Age 70-80,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Endocrinology,High
CHRON06439,Age 70-80,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Nephrology,Low
CHRON06440,Heart Disease + CKD,4,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Cardiology,Very High
CHRON06441,Age 60-70,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Rheumatology,High
CHRON06442,COPD + Heart Disease,4,"Symptom_0, Symptom_1",Nephrology,Moderate
CHRON06443,Age 50-60,2,"Symptom_0, Symptom_1, Symptom_2",General Medicine,Very High
CHRON06444,Sedentary Lifestyle,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Rheumatology,Low
CHRON06445,Age 80+,1,"Symptom_0, Symptom_1",Pulmonology,High
CHRON06446,Heart Disease + CKD,4,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Nephrology,Moderate
CHRON06447,Sedentary Lifestyle,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Endocrinology,Very High
CHRON06448,Poor Diet,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Endocrinology,Moderate
CHRON06449,Age 50-60,3,"Symptom_0, Symptom_1",Endocrinology,High
CHRON06450,Smoking,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Psychiatry,Moderate
CHRON06451,Age 40-50,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Pulmonology,Low
CHRON06452,Age 40-50,2,"Symptom_0, Symptom_1, Symptom_2",Pulmonology,Moderate
CHRON06453,COPD + Heart Disease,5,"Symptom_0, Symptom_1, Symptom_2",General Medicine,Low
CHRON06454,Age 60-70,1,"Symptom_0, Symptom_1, Symptom_2",Endocrinology,High
CHRON06455,Poor Diet,1,"Symptom_0, Symptom_1, Symptom_2",Oncology,Moderate
CHRON06456,Heart Disease + CKD,4,"Symptom_0, Symptom_1, Symptom_2",Rheumatology,Moderate
CHRON06457,Age 50-60,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",General Medicine,Low
CHRON06458,Age 60-70,1,"Symptom_0, Symptom_1, Symptom_2",Psychiatry,Very High
CHRON06459,Age 60-70,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Cardiology,High
CHRON06460,Age 70-80,2,"Symptom_0, Symptom_1, Symptom_2",Psychiatry,Very High
CHRON06461,Heart Disease + CKD,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Endocrinology,Very High
CHRON06462,Diabetes + Hypertension,3,"Symptom_0, Symptom_1, Symptom_2",General Medicine,High
CHRON06463,Sedentary Lifestyle,2,"Symptom_0, Symptom_1, Symptom_2",Pulmonology,Low
CHRON06464,Age 70-80,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",General Medicine,Moderate
CHRON06465,Age 40-50,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Cardiology,Very High
CHRON06466,Diabetes + Hypertension,3,"Symptom_0, Symptom_1",Oncology,High
CHRON06467,Smoking,2,"Symptom_0, Symptom_1",Psychiatry,Low
CHRON06468,Age 60-70,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Rheumatology,Moderate
CHRON06469,Alcohol Use,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Nephrology,Low
CHRON06470,Age 70-80,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",General Medicine,Very High
CHRON06471,Heart Disease + CKD,5,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Cardiology,Low
CHRON06472,COPD + Heart Disease,3,"Symptom_0, Symptom_1, Symptom_2",Psychiatry,High
CHRON06473,Poor Diet,1,"Symptom_0, Symptom_1",Oncology,Moderate
CHRON06474,Diabetes + Hypertension,5,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",General Medicine,High
CHRON06475,Alcohol Use,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Cardiology,Low
CHRON06476,Heart Disease + CKD,5,"Symptom_0, Symptom_1",Nephrology,Very High
CHRON06477,COPD + Heart Disease,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Oncology,Very High
CHRON06478,COPD + Heart Disease,5,"Symptom_0, Symptom_1, Symptom_2",Pulmonology,Moderate
CHRON06479,Smoking,2,"Symptom_0, Symptom_1, Symptom_2",Pulmonology,Low
CHRON06480,Age 80+,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Endocrinology,High
CHRON06481,Age 60-70,3,"Symptom_0, Symptom_1, Symptom_2",Rheumatology,High
CHRON06482,Stress,2,"Symptom_0, Symptom_1, Symptom_2",Endocrinology,Moderate
CHRON06483,Heart Disease + CKD,5,"Symptom_0, Symptom_1",Rheumatology,Low
CHRON06484,Age 80+,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Cardiology,High
CHRON06485,Age 80+,1,"Symptom_0, Symptom_1",Nephrology,Very High
CHRON06486,Age 50-60,3,"Symptom_0, Symptom_1",Psychiatry,Low
CHRON06487,Age 80+,2,"Symptom_0, Symptom_1, Symptom_2",Oncology,Very High
CHRON06488,Heart Disease + CKD,5,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",General Medicine,High
CHRON06489,Age 50-60,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Rheumatology,Low
CHRON06490,Stress,2,"Symptom_0, Symptom_1",Rheumatology,Moderate
CHRON06491,Age 80+,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Nephrology,Low
CHRON06492,Diabetes + Hypertension,4,"Symptom_0, Symptom_1",Rheumatology,Low
CHRON06493,Diabetes + Hypertension,5,"Symptom_0, Symptom_1, Symptom_2",Nephrology,High
CHRON06494,Heart Disease + CKD,5,"Symptom_0, Symptom_1, Symptom_2",Cardiology,Very High
CHRON06495,Sedentary Lifestyle,1,"Symptom_0, Symptom_1, Symptom_2",Nephrology,Moderate
CHRON06496,Heart Disease + CKD,5,"Symptom_0, Symptom_1",Endocrinology,Very High
CHRON06497,Heart Disease + CKD,5,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Cardiology,Moderate
CHRON06498,Diabetes + Hypertension,5,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Endocrinology,Very High
CHRON06499,Sedentary Lifestyle,1,"Symptom_0, Symptom_1",Cardiology,Moderate
CHRON06500,Age 40-50,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3",Nephrology,High
CHRON06501,Smoking,1,"Symptom_0, Symptom_1, Symptom_2",General Medicine,Very High
CHRON06502,Age 70-80,2,"Symptom_0, Symptom_1",Pulmonology,Moderate
CHRON06503,Sedentary Lifestyle,2,"Symptom_0, Symptom_1",Nephrology,High
CHRON06504,Smoking,2,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Nephrology,High
CHRON06505,Age 80+,2,"Symptom_0, Symptom_1",Pulmonology,Moderate
CHRON06506,Age 40-50,3,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Pulmonology,Moderate
CHRON06507,Age 40-50,3,"Symptom_0, Symptom_1, Symptom_2",Nephrology,Low
CHRON06508,COPD + Heart Disease,5,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Oncology,Low
CHRON06509,Age 70-80,1,"Symptom_0, Symptom_1",Psychiatry,Moderate
CHRON06510,Diabetes + Hypertension,4,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Pulmonology,Very High
CHRON06511,Age 50-60,1,"Symptom_0, Symptom_1, Symptom_2, Symptom_3, Symptom_4",Endocrinology,Very High
CHRON06512,Age 70-80,1,"Symptom_0, Symptom_1",Endocrinology,High
